formula_actual,perovskite_type,predicted_bg,predicted_bg_corrected,energy_above_hull_eV,pd_score,application,lead_free
TlPbI3,single,2.265204957641302,1.6469949505601686,0.011369082999998,0.71,Visible PD,False
Rb2LiSbBr6,double,2.680245961902436,2.0620359548213028,0.032909101750003,0.71,Visible PD,True
K2LiSbBr6,double,2.763492064587166,2.1452820575060327,0.02496014575,0.71,Visible PD,True
Cs2TlInCl6,double,3.1401427007475182,2.521932693666385,0.0,0.6000000000000001,UV-Vis PD,True
Cs3Bi2Cl9,Sb_Bi_ternary,3.690999694652693,3.0727896875715595,0.0,0.6000000000000001,UV-Vis PD,True
Cs2ZrCl6,vacancy_ordered,4.099433812844493,3.48122380576336,0.0,0.6000000000000001,UV-Vis PD,True
Cs3Bi2Br9,Sb_Bi_ternary,3.2188635868383813,2.600653579757248,0.0,0.6000000000000001,UV-Vis PD,True
K2LiBiCl6,double,4.091324291161338,3.4731142840802045,0.0,0.6000000000000001,UV-Vis PD,True
Cs2TlBiF6,double,3.7944077984301,3.1761977913489665,0.0,0.6000000000000001,UV-Vis PD,True
RbSnCl3,single,3.718256943196328,3.1000469361151946,0.0,0.6000000000000001,UV-Vis PD,True
RbGeCl3,single,3.6241986132628026,3.005988606181669,0.0,0.6000000000000001,UV-Vis PD,True
TlGeCl3,single,3.144481037188735,2.5262710301076017,0.0,0.6000000000000001,UV-Vis PD,True
RbGeBr3,single,3.009758311025533,2.3915483039444,0.0,0.6000000000000001,Visible PD,True
Rb3Bi2Br9,Sb_Bi_ternary,3.3445073635514087,2.7262973564702757,0.0,0.6000000000000001,UV-Vis PD,True
Rb2TlInCl6,double,3.257424409413324,2.63921440233219,0.0,0.6000000000000001,UV-Vis PD,True
Rb2TeCl6,vacancy_ordered,3.045108171257388,2.4268981641762544,0.0,0.6000000000000001,Visible PD,True
Rb2SnCl6,vacancy_ordered,3.038942258328511,2.4207322512473777,0.0,0.6000000000000001,Visible PD,True
Rb2NaSbCl6,double,3.6443338134157512,3.026123806334618,0.0,0.6000000000000001,UV-Vis PD,True
Rb2NaInCl6,double,3.476163016348274,2.857953009267141,0.0,0.6000000000000001,UV-Vis PD,True
Rb2LiSbCl6,double,3.4326341556415207,2.814424148560388,0.0,0.6000000000000001,UV-Vis PD,True
Rb2NaBiCl6,double,4.040100309403558,3.4218903023224243,0.0,0.6000000000000001,UV-Vis PD,True
Rb2PtF6,vacancy_ordered,3.385832354760773,2.7676223476796395,0.0,0.6000000000000001,UV-Vis PD,True
Na2PtF6,vacancy_ordered,3.396789446952236,2.778579439871103,0.0,0.6000000000000001,UV-Vis PD,True
Rb2LiBiCl6,double,4.063070987284022,3.444860980202889,0.0,0.6000000000000001,UV-Vis PD,True
Rb2LiInCl6,double,3.354581697599075,2.7363716905179416,0.0,0.6000000000000001,UV-Vis PD,True
Cs2LiInCl6,double,3.225379156461498,2.607169149380365,0.0,0.6000000000000001,UV-Vis PD,True
Cs2NaSbCl6,double,3.540961386272601,2.9227513791914674,0.002034741999999,0.6000000000000001,UV-Vis PD,True
Cs2NaBiCl6,double,3.8772850311622737,3.2590750240811404,0.0,0.6000000000000001,UV-Vis PD,True
Cs2NaInCl6,double,3.470572487772189,2.852362480691056,0.0,0.6000000000000001,UV-Vis PD,True
Cs2PdF6,vacancy_ordered,3.301926020777964,2.6837160136968308,0.0,0.6000000000000001,UV-Vis PD,True
Cs2HfBr6,vacancy_ordered,3.9234323490269873,3.305222341945854,0.0,0.6000000000000001,UV-Vis PD,True
Cs2NaBiBr6,double,3.2636570739489943,2.645447066867861,0.002188846000002,0.6000000000000001,UV-Vis PD,True
Cs2LiBiCl6,double,3.691046211966276,3.0728362048851428,0.009026440833334,0.6000000000000001,UV-Vis PD,True
Cs2PtF6,vacancy_ordered,3.297042738005109,2.6788327309239754,0.0,0.6000000000000001,UV-Vis PD,True
KGeBr3,single,3.1694265495975427,2.5512165425164093,0.0,0.6000000000000001,UV-Vis PD,True
KGeCl3,single,3.285134063625124,2.6669240565439907,0.0,0.6000000000000001,UV-Vis PD,True
K2SnCl6,vacancy_ordered,3.115820794556878,2.4976107874757445,0.0,0.6000000000000001,Visible PD,True
K2PtF6,vacancy_ordered,3.365320377210376,2.7471103701292425,0.0,0.6000000000000001,UV-Vis PD,True
CsPbBr3,single,2.9158814976909584,2.297671490609825,0.0,0.6,Visible PD,False
Cs2AgSbF6,double,2.9298878842556486,2.3116778771745152,0.089033584333332,0.5900000000000001,Visible PD,True
Cs2InSbF6,double,2.640816913425472,2.022606906344339,0.086291749749999,0.5900000000000001,Visible PD,True
Rb2AgSbF6,double,2.7694013685653105,2.151191361484177,0.079065896208332,0.5900000000000001,Visible PD,True
TlGeF3,single,3.1330902594144434,2.51488025233331,0.027987879000001,0.51,UV-Vis PD,True
LiSnCl3,single,3.778366824653208,3.1601568175720747,0.0102853845,0.51,UV-Vis PD,True
Rb2LiBiBr6,double,3.4371921173494093,2.818982110268276,0.033182222374999,0.51,UV-Vis PD,True
K2NaInCl6,double,3.51556913798918,2.8973591309080464,0.029960392999996,0.51,UV-Vis PD,True
Rb2TlSbF6,double,3.41198906318994,2.7937790561088067,0.031306053499999,0.51,UV-Vis PD,True
K2LiInCl6,double,3.3691831513347577,2.7509731442536243,0.015773579333334,0.51,UV-Vis PD,True
K2NaBiBr6,double,3.594785403484364,2.9765753964032307,0.043353953499999,0.51,UV-Vis PD,True
Cs2LiSbCl6,double,3.3693003345708528,2.7510903274897194,0.018736179999997,0.51,UV-Vis PD,True
Cs2LiBiBr6,double,3.3782355781864486,2.760025571105315,0.011177394,0.51,UV-Vis PD,True
Cs2TlSbF6,double,3.315159492755999,2.6969494856748657,0.046435319749999,0.51,UV-Vis PD,True
Cs2InBiF6,double,3.2618150015840035,2.64360499450287,0.040167208499997,0.51,UV-Vis PD,True
K2LiSbCl6,double,3.3509930631150384,2.732783056033905,0.039365219249999,0.51,UV-Vis PD,True
K2LiBiBr6,double,3.499198365774037,2.880988358692904,0.0401285285,0.51,UV-Vis PD,True
K2TlInCl6,double,3.1691168771486096,2.550906870067476,0.044406814499996,0.51,UV-Vis PD,True
Rb2AgBiF6,double,3.0613314821795257,2.4431214750983923,0.016627252500004,0.51,Visible PD,True
Rb2NaSbBr6,double,3.001886022150796,2.3836760150696628,0.031378415750005,0.51,Visible PD,True
K2NaSbCl6,double,3.546465253715171,2.9282552466340377,0.04159037175,0.51,UV-Vis PD,True
Rb2NaBiBr6,double,3.4802652805511327,2.8620552734699998,0.031396662374999,0.51,UV-Vis PD,True
Rb2TlBiF6,double,3.926828634592102,3.3086186275109686,0.02927119625,0.51,UV-Vis PD,True
CsPbCl3,single,3.93315454629288,3.3149445392117465,0.0,0.4,UV-Vis PD,False
RbPbCl3,single,4.00858723967696,3.390377232595827,0.0,0.4,UV-Vis PD,False
RbPbBr3,single,3.073271556051848,2.4550615489707144,0.0,0.4,Visible PD,False
Cs2NaGaCl6,double,3.256869333603757,2.638659326522624,0.054894559749999,0.39,UV-Vis PD,True
K2AgBiF6,double,3.009023708332207,2.3908137012510737,0.085758537249997,0.39,Visible PD,True
Cs2TlGaCl6,double,3.073326768381113,2.45511676129998,0.055994328249999,0.39,Visible PD,True
Cs2InGaF6,double,3.965395088001584,3.34718508092045,0.085040036916669,0.39,UV-Vis PD,True
K2NaGaCl6,double,3.2770149539833184,2.658804946902185,0.076634205749998,0.39,UV-Vis PD,True
Rb2InBiF6,double,3.226452274139059,2.6082422670579257,0.081453989261904,0.39,UV-Vis PD,True
Rb2NaGaCl6,double,3.277876622882224,2.65966661580109,0.056494751499998,0.39,UV-Vis PD,True
Rb2TlGaCl6,double,3.1006134199976816,2.482403412916548,0.076422188999997,0.39,Visible PD,True
TlPbCl3,single,3.0020347585335294,2.383824751452396,0.05248801825,0.19,Visible PD,False
